frame,time_s,rx,ry,gx,gy
475,7.914324457593689,2005,2090,1566,2081
476,7.930986193293886,182,3822,1597,2032
477,7.947647928994083,214,3824,1619,1989
478,7.96430966469428,220,3824,1635,1952
479,7.980971400394478,223,3824,1647,1919
480,7.997633136094675,2094,1853,1653,1896
481,8.014294871794872,2099,1829,1658,1880
482,8.03095660749507,2099,1813,1660,1873
483,8.047618343195266,2098,1806,1659,1874
484,8.064280078895464,2094,1806,1657,1884
485,8.080941814595661,2087,1817,1651,1903
486,8.097603550295858,2079,1834,1643,1929
487,8.114265285996055,2065,1863,1631,1960
488,8.130927021696252,370,3830,1613,2001
489,8.14758875739645,357,3829,1588,2044
490,8.164250493096647,1998,2009,1558,2089
491,8.180912228796844,1964,2082,1518,2136
492,8.19757396449704,1923,2163,1471,2181
493,8.21423570019724,493,3832,1420,2221
494,8.230897435897436,1788,2379,1359,2258
495,8.247559171597633,1690,2494,1299,2285
496,8.26422090729783,1398,2487,1240,2303
497,8.280882642998028,1386,2694,1178,2317
498,8.297544378698225,1210,2741,1120,2323
499,8.314206114398422,1015,2744,1067,2323
500,8.330867850098619,821,2697,1009,2319
501,8.347529585798817,660,2618,948,2307
502,8.364191321499014,536,2523,887,2288
503,8.38085305719921,437,2424,822,2260
504,8.397514792899408,187,3824,761,2222
505,8.414176528599606,196,3824,711,2184
506,8.430838264299803,188,3823,663,2139
507,8.4475,212,3824,624,2091
508,8.464161735700197,187,3822,594,2049
509,8.480823471400395,191,3822,570,2007
510,8.497485207100592,255,3824,552,1969
511,8.514146942800789,267,3824,541,1940
512,8.530808678500986,314,3826,533,1918
513,8.547470414201184,214,3823,528,1903
514,8.564132149901381,167,3821,527,1898
515,8.580793885601578,219,3822,528,1901
516,8.597455621301775,228,3823,531,1912
517,8.614117357001973,246,3824,537,1929
518,8.63077909270217,155,3821,547,1956
519,8.647440828402367,141,1960,561,1989
520,8.664102564102564,180,3823,580,2026
521,8.680764299802762,191,3824,606,2068
522,8.697426035502959,247,3825,640,2112
523,8.714087771203156,259,2199,678,2154
524,8.730749506903352,191,3824,725,2196
525,8.747411242603551,380,2388,779,2234
526,8.764072978303748,483,2490,832,2265
527,8.780734714003945,589,2581,893,2290
528,8.797396449704141,731,2663,953,2308
529,8.81405818540434,891,2721,1010,2319
530,8.830719921104537,1051,2749,1070,2324
531,8.847381656804734,1211,2739,1129,2322
532,8.86404339250493,1391,2695,1185,2316
533,8.880705128205129,1409,2501,1248,2302
534,8.897366863905326,1659,2540,1309,2281
535,8.914028599605523,279,3826,1366,2254
536,8.93069033530572,217,3824,1425,2217
537,8.947352071005918,501,3832,1474,2179
538,8.964013806706115,165,3823,1516,2138
539,8.980675542406312,175,3824,1554,2094
540,8.997337278106508,116,3821,1583,2053
541,9.013999013806707,146,3822,1604,2017
542,9.030660749506904,142,3821,1621,1984
543,9.0473224852071,189,3822,1632,1959
544,9.063984220907297,172,3823,1639,1941
545,9.080645956607496,175,3824,1643,1930
546,9.097307692307693,155,3822,1644,1927
547,9.11396942800789,278,3826,1642,1932
548,9.130631163708086,275,3826,1636,1946
549,9.147292899408285,346,3828,1628,1966
550,9.163954635108482,167,3823,1616,1993
551,9.180616370808679,164,3823,1599,2026
552,9.197278106508875,451,3831,1576,2062
553,9.213939842209074,183,3824,1547,2102
554,9.23060157790927,416,3831,1511,2145
555,9.247263313609468,151,3823,1469,2184
556,9.263925049309664,1862,2285,1421,2220
557,9.280586785009863,1791,2390,1364,2256
558,9.29724852071006,1686,2506,1308,2281
559,9.313910256410256,1403,2479,1251,2301
560,9.330571992110453,1423,2681,1191,2314
561,9.347233727810652,1261,2733,1137,2322
562,9.363895463510849,1064,2747,1086,2324
563,9.380557199211045,291,3827,1029,2320
564,9.397218934911242,728,2658,971,2311
565,9.41388067061144,604,2577,913,2296
566,9.430542406311638,488,2488,851,2273
567,9.447204142011834,212,3825,795,2245
568,9.463865877712031,163,3824,743,2209
569,9.480527613412228,299,3827,694,2168
570,9.497189349112427,229,2163,654,2128
571,9.513851084812623,309,3828,623,2089
572,9.53051282051282,162,3822,595,2050
573,9.547174556213017,160,3822,575,2016
574,9.563836291913216,335,3826,561,1988
575,9.580498027613412,320,3826,551,1966
576,9.59715976331361,474,3830,545,1952
577,9.613821499013806,387,3829,542,1946
578,9.630483234714005,122,1945,544,1948
579,9.647144970414201,143,3821,547,1957
580,9.663806706114398,282,3826,554,1973
581,9.680468441814595,284,3827,565,1997
582,9.697130177514794,265,3825,581,2027
583,9.71379191321499,284,3826,601,2060
584,9.730453648915187,500,3832,628,2097
585,9.747115384615384,241,2182,662,2136
586,9.763777120315583,286,2255,697,2172
587,9.78043885601578,347,2346,745,2210
588,9.797100591715976,197,3825,796,2244
589,9.813762327416173,511,2521,847,2271
590,9.830424063116372,623,2604,906,2294
591,9.847085798816568,325,3827,962,2309
592,9.863747534516765,900,2726,1016,2319
593,9.880409270216962,1057,2748,1075,2323
594,9.89707100591716,1217,2739,1129,2322
595,9.913732741617357,291,3827,1186,2316
596,9.930394477317554,1384,2491,1245,2302
597,9.947056213017751,275,3827,1303,2283
598,9.96371794871795,1741,2473,1358,2259
599,9.980379684418146,278,3827,1412,2227
600,9.997041420118343,1883,2308,1459,2191
601,10.01370315581854,1933,2235,1500,2154
602,10.030364891518738,1973,2170,1537,2116
603,10.047026627218935,189,3821,1563,2082
604,10.063688362919132,195,3822,1585,2049
605,10.080350098619329,159,3820,1602,2020
606,10.097011834319527,212,3823,1613,2000
607,10.113673570019724,214,3823,1621,1985
608,10.130335305719921,190,3822,1624,1976
609,10.146997041420118,125,3820,1625,1976
610,10.163658777120316,2064,1940,1622,1982
611,10.180320512820513,2057,1949,1615,1996
612,10.19698224852071,2046,1966,1605,2016
613,10.213643984220907,2031,1994,1590,2041
614,10.230305719921105,2014,2031,1570,2072
615,10.246967455621302,448,3831,1545,2104
616,10.263629191321499,1959,2137,1514,2140
617,10.280290927021696,1922,2204,1476,2177
618,10.296952662721894,1873,2281,1433,2211
619,10.313614398422091,1811,2371,1385,2243
620,10.330276134122288,331,3828,1331,2272
621,10.346937869822485,1624,2566,1278,2293
622,10.363599605522683,1489,2652,1224,2308
623,10.38026134122288,1333,2713,1168,2318
624,10.396923076923077,1180,2746,1116,2323
625,10.413584812623274,1004,2744,1064,2323
626,10.430246548323472,838,2706,1007,2319
627,10.446908284023669,704,2646,953,2307
628,10.463570019723866,582,2570,898,2292
629,10.480231755424063,476,2485,840,2268
630,10.496893491124261,398,2406,786,2239
631,10.513555226824458,333,2329,740,2208
632,10.530216962524655,233,3824,696,2170
633,10.546878698224852,260,3825,660,2135
634,10.56354043392505,489,3831,630,2101
635,10.580202169625247,340,3827,605,2067
636,10.596863905325444,501,3832,588,2039
637,10.61352564102564,520,3832,575,2017
638,10.63018737672584,178,3823,566,2000
639,10.646849112426036,179,3823,563,1991
640,10.663510848126233,149,3822,562,1990
641,10.68017258382643,149,3822,564,1996
642,10.696834319526628,207,3823,571,2008
643,10.713496055226825,159,2042,581,2026
644,10.730157790927022,223,3825,595,2051
645,10.746819526627219,261,3826,615,2079
646,10.763481262327417,214,3824,639,2110
647,10.780142998027614,219,3824,670,2145
648,10.79680473372781,165,3823,706,2180
649,10.813466469428008,218,3825,746,2212
650,10.830128205128204,429,2445,795,2244
651,10.846789940828403,511,2524,844,2270
652,10.8634516765286,611,2597,895,2291
653,10.880113412228797,732,2669,951,2307
654,10.896775147928993,871,2717,1006,2317
655,10.913436883629192,1016,2746,1060,2323
656,10.930098619329389,1166,2747,1116,2323
657,10.946760355029586,1306,2723,1168,2318
658,10.963422090729782,1355,2505,1221,2309
659,10.980083826429981,1436,2488,1277,2293
660,10.996745562130178,1692,2528,1330,2271
661,11.013407297830375,1772,2447,1381,2245
662,11.030069033530571,241,3825,1429,2214
663,11.04673076923077,158,3823,1470,2182
